name,menu,location,y,x,area,phone,time,star
우진해장국,고사리 해장국,제주특별자치도 제주시 삼도2동 서사로 11,33.5115386823178,126.520016120454,제주특별자치도,064-757-3393,매일 06:00 - 22:00(연중 무휴),4.42
연돈,돈까스,제주특별자치도 서귀포시 색달동 일주서로 968-10,33.2589023562622,126.40716550350099,제주특별자치도,064-738-7060,매일 12:00~20:00(월요일 휴무),4.54
별돈별,흑돼지,제주특별자치도 제주시 한경면 고산로8길 21-5,33.3080169268763,126.180237740519,제주특별자치도,064-772-5895,매일 16:00~22:00(수요일 휴무),4.41
범일분식,순대국,제주 서귀포시 남원읍 태위로 658,33.2784550559765,126.716912345201,제주특별자치도,0507-1405-5069,매일 09:00~17:00(토요일 휴무),4.42
원조수라상꼬막정식,꼬막무침&꼬막전,전남 보성군 벌교읍 채동선로 278-2,34.846847089938194,127.343613860436,전남,061-858-4242,매일 09:00~20:00,4.25
특미관,녹차떡갈비,전남 보성군 보성읍 봉화로 53,34.7651401202144,127.07745478775601,전남,0507-1340-4545,매일 09:00-22:30,4.14
춘운서옥,녹차&커피,전남 보성군 보성읍 송재로 211-9,34.77460546747429,127.082775534245,전남,010-2617-8889,평일 10:30-21:00(월요일 휴무)&주말 10:30-22:00,4.6
모리씨빵가게,통밀빵,전남 보성군 벌교읍 태백산맥길 40,34.8457735697203,127.34302203580299,전남,061-858-2623,매일 10:30-17:00(월화 휴무),4.47
황소식당,간장게장백반정식,전남 여수시 봉산남3길 2,34.7341505888393,127.72010254112,전남,061-642-8037,매일 09:00-20:00,4.23
여수맛집,매운탕&회,전남 여수시 돌산읍 진두해안길 72,34.7329986372578,127.74313266322399,전남,0507-1307-5806,매일 09:00-24:00,4.52
이순신수제버거,이순신버거,전남 여수시 중앙로 73,34.7402742249908,127.735653992875,전남,0507-1315-3243,매일 11:00 - 21:00,4.44
여수당,쑥아이스크림,전남 여수시 중앙로 72,34.7399016307552,127.735318517113,전남,0507-1356-0222,매일 10:00 - 20:00,4.31
화산물갈비,소물갈비,전북 전주시 완산구 신촌4길 19 화산물갈비,35.817578320829604,127.116070991273,전북,063-223-2778,매일 11:30-23:00,4.44
밥상위의한우,소고기구이,전북 전주시 완산구 천잠로 341,35.817009650324394,127.09419591796,전북,063-223-7666,매일 11:30 - 21:30,4.29
두루미밥상,한식정식,전북 전주시 덕진구 호성동2가 631-76,35.8681354654557,127.145340045849,전북,063-251-8865,매일 11:00-21:00,4.2
맘스브레드,튀김소보루,전북 전주시 완산구 호암로 81,35.808649233791996,127.10356356422199,전북,063-225-1108,매일 08:30 - 22:30,4.3
동아리식당,불고기한상정식&올갱이해장국,충청북도 보은군 속리산면 사내리 280-1,36.531397011173,127.821812363573,충북,043-542-5259,매일 9:00-21:00,4.2
배영숙산야초밥상,산야초정식,충청북도 보은군 속리산면 사내리 280-1,36.531397011173,127.821812363573,충북,043-543-1136,매일 9:00-21:00,4.0
대성식당,능이백숙,충청북도 보은군 속리산면 사내리 264,36.5329201749067,127.82636497680201,충북,043-543-4015,매일 6:00-22:00,4.0
문장대식당,능이버섯해장국,충청북도 보은군 속리산면 법주사로 256,36.5307000381286,127.821870756587,충북,043-543-3655,매일 8:00-21:00,3.7
다락가든,쌈밥정식,충청남도 논산시 관촉동 170-7,36.1910583688335,127.11476454737301,충남,041-735-6888,매일 11:00-21:00,4.1
석쇠꾼 논산건양대점,돼지고기,충청남도 논산시 내동 시민로 132번길 44-4,36.1804938905516,127.105671550376,충남,041-733-1461,매일 4:00-24:00,4.7
강경해물칼국수,해물칼국수,충청남도 논산시 강경읍 대흥리 56-8,36.157488158959204,127.015407281383,충남,041-745-3940,매일 11:00-20:00(월요일 휴무),4.0
고향식당,도가니탕,충청남도 논산시 연산면 선비로 317,36.215759592685,127.19483026089,충남,041-735-0407,매일 11:00-13:00(일요일 휴무),4.2
장춘닭개장,닭개장,충청남도 당진시 원당동 정안로 50,36.906542706852605,126.649845123804,충남,041-354-1003,매일 7:00-20:00(일요일 휴뮤),4.2
우렁이박사,우렁정식,충청남도 당진시 신평면 도성리 499-1,36.879718450159004,126.802449158146,충남,041-362-9554,매일 6:00-20:00,4.0
원조 마산아구찜 해물찜 전문점,아구찜,충청남도 당진시 신평면 거산리 12-24,36.88119258683629,126.75485913044201,충남,041-363-8777,매일 11:00-22:00,4.0
꽃게와꽃게집,게국지,충청남도 당진시 송악읍 신복운로 173-1,36.9411890163325,126.783561310987,충남,041-357-5006,매일 10:00-21:00,3.8
샘뜰두부집,두부요리,경기 파주시 문산읍 사목로 227,37.886567570038,126.76029015303499,경기,031-952-8010,매일 11:00 ~ 20:00,4.21
정미식당 임진각점,찌개.전골,경기 파주시 문산읍 사목로 227-5,37.8866458017257,126.76012779442699,경기,031-952-4005,매일 09:00 ~ 21:00,4.0
임진강생선집,매운탕,경기 파주시 문산읍 말우물길 101,37.8869284103714,126.75932453441999,경기,031-952-4047,매일 10:00 ~ 21:00,4.2
프로방스베이커리,장단콩빵,경기 파주시 문산읍 임진각로 148-73,37.8914503150005,126.740279546575,경기,031-953-3390,매일 09:00 ~ 23:00,4.36
플라츠907,카페,경기 파주시 문산읍 마정로 174,37.8916228298479,126.755153810777,경기,0507-1348-7050,매일 11:00 ~ 19:00(수요일 휴무),4.63
와우장어,장어,경기 용인시 처인구 동부로 761,37.187630831677296,127.271160870725,경기,031-322-1480,매일 11:00 ~ 21:00(화요일 휴무),4.26
시골밥집,한식,경기 용인시 처인구 동부로 677,37.1901722080814,127.26245498919799,경기,031-332-7206,매일 10:00 ~ 21:00,4.32
팔도사나이,토종닭백숙,경기 용인시 처인구 동부로822번길 3-5,37.18898554025321,127.27782076825899,경기,031-335-3356,매일 10:00 ~ 21:30,4.32
엉클드파리,파스타,경기 용인시 처인구 해곡로 30,37.1922691021914,127.279029027437,경기,031-338-3991,매일 11:00 ~ 21:00,4.55
수벌산채비빔밥,비빔밥,경기 용인시 처인구 해곡로 25-6,37.1924133196064,127.278778395694,경기,031-526-9811,매일 12:00 ~ 18:00,4.3
옥이네소고기해장국,해장국,경기 안산시 단원구 엠티브이5로 11,37.29626636377071,126.76163646885401,경기,031-364-8279,매일 10:00 ~ 19:00,4.0
버거앤프라이즈 안산시화호수로점,햄버거,경기 안산시 단원구 시화호수로841번길 8,37.2964489541794,126.76022913890301,경기,031-495-8418,월~토 10:30 ~ 21:00,4.8
어죽이네철렵국 단원점,철렵국,경기 안산시 단원구 별망로 453,37.3040412881406,126.775451572785,경기,031-493-0078,매일 10:00 ~ 14:30(일요일 휴무),4.5
광야루,짜장면,경기 안산시 단원구 별망로 419,37.305339659714704,126.77228239651,경기,031-411-6600,매일 11:00 ~ 20:00,4.28
만해통통이두루치기,통돼지두루치기,경기 안산시 단원구 만해로 127,37.326553080028894,126.753168814637,경기,031-493-3660,매일 10:00 ~ 22:00,4.42
진태원,탕수육,강원도 평창 횡계길 19,37.6732211014076,128.708276754622,강원,033-335-5567,매일 11:00 ~ 19:30,4.0
이촌쉼터,옹심이칼국수,강원도 평창 대관령면 꽃밭양지길 405,37.7052022999265,128.714014290867,강원,033-336-4640,매일 11:00 ~ 20:00,4.1
교동반점,짬뽕면,강원도 강릉 교동 162-126,37.758366881069705,128.8930720384,강원,033-646-3833,매일 10:00 ~ 18:30,3.7
와우대관령한우 진부점,한우 스테이크,강원도 평창군 진부면 까치골길 7,37.6468674409848,128.563451329958,강원,033-334-1300,매일 11:00 ~ 22:00,3.9
왕가갈비,양념돼지갈비,강원 정선군 고한읍 강원남로 6063,37.2137149149202,128.834287640535,강원,0507-1350-8867,매일 10:00 ~ 22:00,4.36
초원정육점식당,한우,강원 정선군 고한읍 지장천로 853,37.2202087238654,128.834157319435,강원,033-592-4512,매일 00:00 ~ 24:00,3.88
한우리,한우,강원 정선군 사북읍 지장천로 705,37.2260181460784,128.825313911958,강원,033-592-8000,매일 10:00 ~ 22:00,4.2
보문식당,갈비탕,강원 정선군 사북읍 소금강로 3658,37.2261206673498,128.82562970197299,강원,033-592-5566,매일 09:00 ~ 21:00(수요일 휴무),4.4
우성옥,돌솥밥정식,강원 속초시 엑스포로 82,38.191796955542,128.58231557530002,강원,033-633-2252,매일 11:00 ~ 20:00,4.8
만석닭강정 본점, 닭강정,강원 속초시 청초호반로 72,38.1903312706809,128.58687073685,강원,1577-9042,매일 10:00 ~ 20:00,4.3
속초365홍게대게,홍게.대게,강원 속초시 엑스포로 37,38.1910241825484,128.587090426977,강원,033-637-9292,매일 11:00 ~ 22:00(화요일 휴무),4.55
맛깔칼국수,칼국수,강원 속초시 선사로5길 37,38.188982902737706,128.587978272062,강원,033-636-2777,매일 10:00~19:00(목요일 휴무),4.39
풍성갈비&조개구이,바다장어,부산 수영구 민락수변로 7,35.1551342050388,129.124005331974,부산,051-752-6211,매일 16:00 ~ 24:00,4.28
로옹,브런치,부산 수영구 광안해변로 145 협진태양아파트상가 4동,35.1478960012538,129.114368126535,부산,070-8848-3774,매일 10:00 - 16:00,4.53
석화촌,굴요리,부산 수영구 광안해변로277번길 11,35.1564575497901,129.12404094985902,부산,051-757-4577,매일 16:00 ~ 02:00,4.41
다옴,차돌박이 비빔국수,부산 수영구 남천바다로22번길 25 정원비치빌라,35.148237036347396,129.112387907972,부산,070-4207-0372,화~일 11:30 ~ 21:00(브레이크타임 15:00 ~ 17:00),4.4
수변최고돼지국밥,돼지국밥,부산 수영구 광안해변로370번길 9-32,35.1567572881633,129.134260506525,부산,051-754-9222,매일 08:00 - 21:30,4.43
부산횟집,회,부산 중구 자갈치로47번길 4,35.097559643764704,129.029610323763,부산,051-246-8075,매일 10:00 ~ 23:00,4.18
도라보울,스프카레,부산 중구 남포길 27-1,35.0986935479391,129.031968641581,부산,051-246-0400,매일 11:30 ~ 22:00,4.35
부산명물횟집,회백반,부산 중구 자갈치해안로 55-1,35.0971315118166,129.031190832682,부산,051-245-4995,매일 09:00 ~ 22:00(브레이크타임 15:30 ~ 17:00),4.21
백화양곱창,곱창,부산 중구 자갈치로23번길 6,35.0969363261228,129.027007915957,부산,051-245-0105,매일 12:00 ~ 24:00,4.33
이자카야 키,고등어회,부산 중구 광복로6번길 14-1,35.0983028544615,129.025542711877,부산,010-9207-1115,매일 17:00 ~ 02:00 ,4.34
겐짱카레,카레,부산 중구 광복로35번길 16-1,35.100742628678,129.0289840568,부산,051-241-0092,화~일 11:30 ~ 22:00,4.62
이재모피자,피자,부산 중구 광복중앙로 31 중앙아파트상가,35.1021001982297,129.03057976048902,부산,051-245-1478,매일 11:00 - 21:30,4.46
화국반점,간짜장,부산 중구 백산길 3,35.1025568477201,129.034243095548,부산,051-245-5305,화~일 11:30 ~ 22:00,3.8
삼송초밥,초밥,부산 중구 광복로55번길 13,35.0996783524398,129.029865931482,부산,051-245-7870,월~토 11:00 ~ 21:00(브레이크타임 15:00 ~ 17:00),4.28
루흐,파스타,부산 중구 구덕로14번길 3-1,35.0982267681276,129.034008403515,부산,0507-1408-5609,매일 11:00 ~ 22:00,4.68
청진옥,해장국,서울 종로구 종로3길 32,37.571729636393,126.979463167521,서울,02-735-1690,매일 00:00 ~ 24:00,4.3
진진수라 광화문점,한정식,청진동 128,37.5706940397471,126.98057062609399,서울,02-6226-8191,매일 11:00 ~ 22:00(브레이크타임 15:00 ~ 17:00),4.49
